"","GEOID","medianAge09"
"1","11001000100",43.4
"2","11001000201",19.4
"3","11001000202",27.6
"4","11001000300",33.2
"5","11001000400",41.4
"6","11001000501",33.1
"7","11001000502",41.7
"8","11001000600",49.6
"9","11001000701",52.2
"10","11001000702",30.5
"11","11001000801",42.6
"12","11001000802",41
"13","11001000901",19.9
"14","11001000902",40.5
"15","11001001001",36.5
"16","11001001002",33.3
"17","11001001100",41.8
"18","11001001200",36.4
"19","11001001301",38.5
"20","11001001302",38.1
"21","11001001401",40.2
"22","11001001402",50.2
"23","11001001500",45.3
"24","11001001600",48.5
"25","11001001701",39.8
"26","11001001702",38.1
"27","11001001801",23.5
"28","11001001803",43.6
"29","11001001804",37.2
"30","11001001901",35.8
"31","11001001902",45.3
"32","11001002001",46.4
"33","11001002002",41.7
"34","11001002101",34.7
"35","11001002102",44.3
"36","11001002201",36.8
"37","11001002202",37.8
"38","11001002301",39.5
"39","11001002302",54.9
"40","11001002400",48.2
"41","11001002501",42.6
"42","11001002502",35
"43","11001002600",48.5
"44","11001002701",34.2
"45","11001002702",34.6
"46","11001002801",34.8
"47","11001002802",32
"48","11001002900",31.5
"49","11001003000",31.1
"50","11001003100",32.1
"51","11001003200",34.5
"52","11001003301",34.9
"53","11001003302",33.4
"54","11001003400",20.4
"55","11001003500",24.2
"56","11001003600",35.9
"57","11001003700",28.4
"58","11001003800",36.3
"59","11001003900",35.2
"60","11001004001",37.8
"61","11001004002",35.5
"62","11001004100",43.9
"63","11001004201",33.4
"64","11001004202",33.9
"65","11001004300",38.9
"66","11001004400",35.6
"67","11001004600",37.3
"68","11001004700",31.5
"69","11001004801",38.3
"70","11001004802",35.3
"71","11001004901",38.7
"72","11001004902",29.3
"73","11001005000",36.3
"74","11001005100",33.8
"75","11001005201",35.8
"76","11001005202",29.3
"77","11001005301",40.1
"78","11001005302",41.6
"79","11001005401",27.8
"80","11001005402",NA
"81","11001005500",35.7
"82","11001005600",39.6
"83","11001005701",19.8
"84","11001005702",NA
"85","11001005800",34.7
"86","11001005900",42.9
"87","11001006001",35.9
"88","11001006002",25.5
"89","11001006100",45.1
"90","11001006201",37.3
"91","11001006202",NA
"92","11001006301",48.7
"93","11001006302",22
"94","11001006400",38.3
"95","11001006500",36.3
"96","11001006600",35.6
"97","11001006700",38.1
"98","11001006801",39.1
"99","11001006802",37
"100","11001006804",33.8
"101","11001006900",38.1
"102","11001007000",33.6
"103","11001007100",30.9
"104","11001007200",35.5
"105","11001007301",25.6
"106","11001007302",28.3
"107","11001007304",33.8
"108","11001007308",19.7
"109","11001007401",21
"110","11001007403",26.7
"111","11001007404",20.8
"112","11001007406",22.3
"113","11001007407",25.3
"114","11001007408",25.9
"115","11001007409",25.7
"116","11001007502",27.9
"117","11001007503",33.3
"118","11001007504",28.6
"119","11001007601",41.9
"120","11001007603",39
"121","11001007604",46.4
"122","11001007605",42.4
"123","11001007703",25.4
"124","11001007707",34.5
"125","11001007708",30.9
"126","11001007709",37.6
"127","11001007803",39.3
"128","11001007804",33.1
"129","11001007806",37.6
"130","11001007807",31.8
"131","11001007808",26.2
"132","11001007809",37.4
"133","11001007901",33.5
"134","11001007903",46.6
"135","11001008001",37
"136","11001008002",35.8
"137","11001008100",31.3
"138","11001008200",34.5
"139","11001008301",37.7
"140","11001008302",33.9
"141","11001008402",41.5
"142","11001008410",36.8
"143","11001008500",37.8
"144","11001008600",NA
"145","11001008701",33.9
"146","11001008702",39.6
"147","11001008802",32.7
"148","11001008803",28.1
"149","11001008804",42.5
"150","11001008903",33
"151","11001008904",35.5
"152","11001008905",NA
"153","11001009000",51.8
"154","11001009101",45.9
"155","11001009102",32.3
"156","11001009201",32.7
"157","11001009203",33.5
"158","11001009204",41.5
"159","11001009301",43.1
"160","11001009302",43.2
"161","11001009400",43.5
"162","11001009501",21
"163","11001009503",49.9
"164","11001009504",47.3
"165","11001009505",47.2
"166","11001009507",43
"167","11001009508",44
"168","11001009509",46.6
"169","11001009601",21.9
"170","11001009602",26.5
"171","11001009603",34.5
"172","11001009604",43.1
"173","11001009700",26.2
"174","11001009801",22.3
"175","11001009802",30.3
"176","11001009803",30.2
"177","11001009804",31.9
"178","11001009806",26.8
"179","11001009807",41.2
"180","11001009808",27.2
"181","11001009809",50.7
"182","11001009901",52.8
"183","11001009902",46.3
"184","11001009903",40.9
"185","11001009904",36.6
"186","11001009905",30.9
"187","11001009906",34.8
"188","11001009907",28.6
